,name,RA,DEC,Equinox
331,NGC324,00:58:33.8,-40:29:55,2000
332,NGC325,00:57:52.2,-05:07:54,2000
333,NGC326,00:58:21.1,+26:52:05,2000
334,NGC327,00:57:58.2,-05:07:54,2000
335,NGC328,00:57:06.1,-52:54:54,2000
336,NGC329,00:58:04.2,-05:03:54,2000
337,NGC330,00:56:15.3,-72:28:53,2000
338,NGC331,00:57:04.5,-02:45:54,2000
339,NGC332,00:58:48.0,+07:06:05,2000
340,NGC333,00:58:50.4,-16:28:55,2000
341,NGC333,00:58:50.4,-16:28:55,2000
342,NGC334,00:58:47.0,-35:07:55,2000
343,NGC335,00:59:08.1,-18:15:55,2000
344,NGC336,00:58:50.1,-18:45:55,2000
345,NGC337,00:59:45.8,-07:34:55,2000
346,NGC337,01:01:45.7,-07:35:57,2000
347,NGC338,01:00:34.0,+30:39:04,2000
348,NGC339,00:57:47.0,-74:28:54,2000
349,NGC340,01:00:33.9,-06:52:56,2000
350,NGC341,01:00:45.5,-09:10:56,2000
351,NGC341,01:00:51.5,-09:10:56,2000
352,NGC342,01:00:45.9,-06:46:56,2000
353,NGC343,01:00:49.2,-23:13:56,2000
354,NGC344,01:01:37.1,-23:13:56,2000
355,NGC345,01:01:21.9,-06:53:56,2000
356,NGC346,00:59:02.5,-72:10:55,2000
357,NGC347,01:01:21.9,-06:48:56,2000
358,NGC348,01:00:47.3,-53:13:56,2000
359,NGC349,01:01:51.9,-06:48:57,2000
360,NGC350,01:01:57.9,-06:48:57,2000
361,NGC351,01:02:04.6,-01:54:57,2000
362,NGC352,01:02:10.3,-04:14:57,2000
363,NGC353,01:02:34.6,-01:55:57,2000
364,NGC354,01:03:14.6,+22:21:02,2000
365,NGC355,01:03:09.9,-06:19:57,2000
366,NGC356,01:03:15.8,-06:59:57,2000
367,NGC357,01:03:21.9,-06:20:57,2000
368,NGC358,01:05:10.3,+62:02:01,2000
369,NGC359,01:04:22.8,-00:44:58,2000
370,NGC360,01:02:51.1,-65:35:57,2000
371,NGC361,01:02:14.0,-71:36:57,2000
372,NGC362,01:02:21.1,-70:50:57,2000
373,NGC363,01:06:08.1,-16:33:59,2000
374,NGC364,01:04:34.8,-00:50:58,2000
375,NGC365,01:04:16.5,-35:08:58,2000
376,NGC366,01:06:28.8,+62:14:00,2000
377,NGC367,01:04:56.9,-12:19:58,2000
378,NGC368,01:04:26.3,-43:15:58,2000
379,NGC369,01:05:01.9,-17:46:58,2000
380,NGC370,01:06:34.9,+32:25:00,2000
381,NGC371,01:03:18.8,-72:04:57,2000
382,NGC372,01:06:40.9,+32:26:00,2000
383,NGC373,01:06:58.9,+32:18:00,2000
384,NGC374,01:07:05.0,+32:46:00,2000
385,NGC375,01:07:05.0,+32:21:00,2000
386,NGC376,01:03:47.3,-72:48:58,2000
387,NGC377,01:06:19.5,-20:02:59,2000
388,NGC378,01:06:11.4,-30:10:59,2000
389,NGC379,01:07:17.0,+32:31:00,2000
390,NGC380,01:07:17.0,+32:29:00,2000
391,NGC381,01:08:22.8,+61:34:59,2000
392,NGC382,01:07:23.0,+32:24:00,2000
393,NGC383,01:07:23.0,+32:25:00,2000
394,NGC384,01:07:23.0,+32:18:00,2000
395,NGC385,01:07:29.0,+32:19:00,2000
396,NGC386,01:07:29.0,+32:22:00,2000
397,NGC387,01:07:29.0,+32:23:00,2000
398,NGC388,01:07:47.0,+32:19:00,2000
399,NGC389,01:08:31.0,+39:41:59,2000
400,NGC390,01:08:05.1,+32:26:59,2000
401,NGC391,01:07:29.1,+00:56:00,2000
402,NGC392,01:08:23.2,+33:06:59,2000
403,NGC393,01:08:37.0,+39:39:59,2000
404,NGC394,01:08:23.3,+33:07:59,2000
405,NGC395,01:05:06.2,-71:59:58,2000
406,NGC396,01:10:17.5,+03:31:58,2000
407,NGC397,01:08:29.3,+33:05:59,2000
408,NGC398,01:08:47.1,+32:29:59,2000
409,NGC399,01:08:59.2,+32:36:59,2000
410,NGC400,01:08:59.2,+32:43:59,2000
411,NGC401,01:09:05.2,+32:45:59,2000
412,NGC402,01:09:11.2,+32:48:59,2000
413,NGC403,01:09:17.2,+32:44:59,2000
414,NGC404,01:09:30.0,+35:42:59,2000
415,NGC405,01:08:18.6,-46:40:00,2000
416,NGC406,01:07:26.5,-69:53:00,2000
417,NGC407,01:10:35.4,+33:06:58,2000
418,NGC408,01:10:53.5,+33:05:58,2000
419,NGC409,01:09:39.8,-35:46:01,2000
420,NGC410,01:10:59.5,+33:08:58,2000
421,NGC411,01:07:53.4,-71:46:00,2000
422,NGC412,01:10:19.3,-20:01:02,2000
423,NGC413,01:09:28.4,-02:50:01,2000
424,NGC414,01:11:17.5,+33:05:57,2000
425,NGC415,01:10:09.8,-35:29:02,2000
426,NGC416,01:08:10.2,-72:21:00,2000
427,NGC417,01:11:07.6,-18:10:02,2000
428,NGC418,01:10:35.1,-30:13:02,2000
429,NGC419,01:08:28.9,-71:53:01,2000
430,NGC420,01:12:05.3,+32:05:57,2000
431,NGC421,01:12:05.3,+32:08:57,2000
432,NGC422,01:09:28.7,-71:45:01,2000
433,NGC423,01:11:23.2,-29:13:02,2000
434,NGC424,01:11:20.9,-38:07:02,2000
435,NGC425,01:13:01.2,+38:47:56,2000
436,NGC426,01:12:52.9,-00:17:04,2000
437,NGC427,01:12:28.5,-32:03:03,2000
438,NGC428,01:12:59.1,+00:58:56,2000
439,NGC429,01:12:58.8,-00:20:04,2000
440,NGC430,01:13:04.9,-00:15:04,2000
441,NGC431,01:14:11.9,+33:43:55,2000
442,NGC432,01:11:46.0,-61:36:03,2000
443,NGC433,01:15:17.4,+60:07:55,2000
444,NGC434,01:12:12.3,-58:15:03,2000
445,NGC434,01:12:30.2,-58:13:03,2000
446,NGC435,01:13:59.3,+02:03:56,2000
447,NGC436,01:15:34.6,+58:48:54,2000
448,NGC437,01:14:24.0,+05:55:55,2000
449,NGC438,01:13:26.8,-37:56:04,2000
450,NGC439,01:13:52.4,-31:44:04,2000
451,NGC440,01:12:54.1,-58:17:03,2000
452,NGC441,01:13:58.4,-31:47:04,2000
453,NGC442,01:14:40.7,-01:01:05,2000
454,NGC443,01:15:05.9,+33:22:55,2000
455,NGC444,01:15:53.4,+31:04:54,2000
456,NGC445,01:14:53.3,+01:55:55,2000
457,NGC446,01:14:53.7,+04:10:55,2000
458,NGC447,01:16:05.9,+33:05:54,2000
459,NGC448,01:15:16.6,-01:37:05,2000
460,NGC449,01:15:35.9,+33:03:54,2000
461,NGC450,01:15:28.7,-00:52:05,2000
462,NGC451,01:16:11.9,+33:03:54,2000
463,NGC452,01:16:17.4,+31:01:54,2000
464,NGC453,01:16:17.9,+33:02:54,2000
465,NGC454,01:14:19.6,-55:24:04,2000
466,NGC455,01:15:59.9,+05:10:54,2000
467,NGC456,01:13:59.7,-73:16:04,2000
468,NGC457,01:19:05.0,+58:19:52,2000
469,NGC458,01:14:50.9,-71:32:05,2000
470,NGC459,01:18:02.4,+17:32:53,2000
471,NGC460,01:14:49.4,-72:18:05,2000
472,NGC461,01:16:15.6,-33:57:06,2000
473,NGC462,01:18:05.7,+04:13:53,2000
474,NGC463,01:18:56.2,+16:18:52,2000
475,NGC464,01:19:00.7,+34:57:52,2000
476,NGC465,01:15:46.7,-73:19:05,2000
477,NGC466,01:17:10.7,-58:55:06,2000
478,NGC467,01:19:11.6,+03:17:52,2000
479,NGC468,01:19:48.2,+32:46:51,2000
480,NGC469,01:19:25.9,+14:52:52,2000
481,NGC470,01:19:47.6,+03:24:52,2000
482,NGC471,01:19:55.9,+14:46:51,2000
483,NGC472,01:20:30.2,+32:42:51,2000
484,NGC473,01:19:50.3,+16:32:51,2000
485,NGC474,01:20:05.6,+03:24:51,2000
486,NGC475,01:20:01.9,+14:50:51,2000
487,NGC476,01:20:14.2,+16:00:51,2000
488,NGC477,01:21:20.7,+40:28:50,2000
489,NGC478,01:20:12.2,-22:22:09,2000
490,NGC479,01:21:17.7,+03:51:50,2000
491,NGC480,01:20:56.9,-09:52:09,2000
492,NGC481,01:21:03.0,-09:12:09,2000
493,NGC482,01:20:19.0,-40:57:09,2000
494,NGC483,01:22:00.6,+33:31:50,2000
